estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
413,31,8,"(1024,)","(128,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
414,31,8,"(1024, 1025)","(1, 128)",132096,0.5857714047727273,7.7846024705989665,L3_BW
415,31,8,"(1024,)","(256,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
416,31,8,"(1024, 1025)","(1, 256)",132096,0.5857714047727273,7.7846024705989665,L3_BW
417,31,8,"(1024, 1025)","(2, 4)",131584,0.5858579793181818,7.783452109173112,L3_BW
418,31,8,"(1024, 1025)","(2, 8)",131584,0.5858579793181818,7.783452109173112,L3_BW
419,31,8,"(1024, 1025)","(2, 16)",131584,0.5858579793181818,7.783452109173112,L3_BW
420,31,8,"(1024, 1025)","(2, 32)",131584,0.5858579793181818,7.783452109173112,L3_BW
421,31,8,"(1024, 1025)","(2, 64)",131584,0.5858579793181818,7.783452109173112,L3_BW
422,31,8,"(1024, 1025)","(2, 128)",131584,0.5858579793181818,7.783452109173112,L3_BW
423,31,8,"(1024, 1025)","(4, 2)",131328,0.5866054993181818,7.773533541878036,L3_BW
424,31,8,"(1024, 1025)","(4, 4)",131328,0.5866054993181818,7.773533541878036,L3_BW
425,31,8,"(1024, 1025)","(4, 8)",131328,0.5866054993181818,7.773533541878036,L3_BW
426,31,8,"(1024, 1025)","(4, 16)",131328,0.5866054993181818,7.773533541878036,L3_BW
427,31,8,"(1024, 1025)","(4, 32)",131328,0.5866054993181818,7.773533541878036,L3_BW
428,31,8,"(1024, 1025)","(4, 64)",131328,0.5866054993181818,7.773533541878036,L3_BW
429,31,8,"(1024, 1025)","(8, 1)",131200,0.5857714047727273,7.7846024705989665,L3_BW
430,31,8,"(1024, 1025)","(8, 2)",131200,0.5857714047727273,7.7846024705989665,L3_BW
431,31,8,"(1024, 1025)","(8, 4)",131200,0.5857714047727273,7.7846024705989665,L3_BW
432,31,8,"(1024, 1025)","(8, 8)",131200,0.5857714047727273,7.7846024705989665,L3_BW
433,31,8,"(1024, 1025)","(8, 16)",131200,0.5857714047727273,7.7846024705989665,L3_BW
434,31,8,"(1024, 1025)","(8, 32)",131200,0.5857714047727273,7.7846024705989665,L3_BW
435,31,8,"(1024, 1025)","(16, 1)",131200,0.5857714047727273,7.7846024705989665,L3_BW
436,31,8,"(1024, 1025)","(16, 2)",131200,0.5857714047727273,7.7846024705989665,L3_BW
437,31,8,"(1024, 1025)","(16, 4)",131200,0.5857714047727273,7.7846024705989665,L3_BW
438,31,8,"(1024, 1025)","(16, 8)",131200,0.5857714047727273,7.7846024705989665,L3_BW
439,31,8,"(1024, 1025)","(16, 16)",131200,0.5857714047727273,7.7846024705989665,L3_BW
440,31,8,"(1024, 1025)","(32, 1)",131200,0.5857714047727273,7.7846024705989665,L3_BW
441,31,8,"(1024, 1025)","(32, 2)",131200,0.5857714047727273,7.7846024705989665,L3_BW
442,31,8,"(1024, 1025)","(32, 4)",131200,0.5857714047727273,7.7846024705989665,L3_BW
443,31,8,"(1024, 1025)","(32, 8)",131200,0.5857714047727273,7.7846024705989665,L3_BW
444,31,8,"(1024, 1025)","(64, 1)",131200,0.5857714047727273,7.7846024705989665,L3_BW
445,31,8,"(1024, 1025)","(64, 2)",131200,0.5857714047727273,7.7846024705989665,L3_BW
446,31,8,"(1024, 1025)","(64, 4)",131200,0.5857714047727273,7.7846024705989665,L3_BW
447,31,8,"(1024, 1025)","(128, 1)",131200,0.5857714047727273,7.7846024705989665,L3_BW
448,31,8,"(1024, 1025)","(128, 2)",131200,0.5857714047727273,7.7846024705989665,L3_BW
449,31,8,"(1024, 1025)","(256, 1)",131200,0.5868652229545456,7.7700932794124435,L3_BW
450,31,16,"(1024,)","(8,)",128,1.2725440011363636,3.583371200310549,"Latencies, L3_BW"
451,31,16,"(1024, 1025)","(1, 8)",132096,0.5857714047727273,7.7846024705989665,L3_BW
452,31,16,"(1024,)","(16,)",64,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
453,31,16,"(1024, 1025)","(1, 16)",66560,0.5259362920454546,8.670246936307445,L3_BW
454,31,16,"(1024,)","(32,)",64,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
455,31,16,"(1024, 1025)","(1, 32)",66560,0.5259362920454546,8.670246936307445,L3_BW
456,31,16,"(1024,)","(64,)",64,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
457,31,16,"(1024, 1025)","(1, 64)",66560,0.5259362920454546,8.670246936307445,L3_BW
458,31,16,"(1024,)","(128,)",64,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
459,31,16,"(1024, 1025)","(1, 128)",66560,0.5259362920454546,8.670246936307445,L3_BW
460,31,16,"(1024,)","(256,)",64,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
461,31,16,"(1024, 1025)","(1, 256)",66560,0.5259362920454546,8.670246936307445,L3_BW
462,31,16,"(1024, 1025)","(2, 4)",131584,0.5858579793181818,7.783452109173112,L3_BW
